0, 2.20624, -0.00000, 0.59977, 0.00000, -1.74933, -0.00000, 0.99962, 0.00000, -3.02360, -0.03222, -2.68500, -1.63815, 2.25894, 0.94636, 3.49391,
1, 2.18171, 0.00217, 0.59981, 0.00151, -1.74831, -0.00133, 0.99902, -0.00242, -2.98058, -0.04103, -2.64674, -1.62348, 2.25485, 0.94311, 3.48184,
2, 2.14811, 0.00515, 0.59986, 0.00357, -1.74691, -0.00316, 0.99819, -0.00578, -2.92130, -0.05317, -2.59410, -1.60324, 2.24898, 0.93855, 3.46495,
3, 2.10637, 0.00886, 0.59994, 0.00611, -1.74516, -0.00548, 0.99714, -0.01001, -2.84705, -0.06840, -2.52826, -1.57787, 2.24125, 0.93271, 3.44339,
4, 2.05721, 0.01324, 0.60004, 0.00909, -1.74310, -0.00825, 0.99588, -0.01508, -2.75870, -0.08653, -2.45004, -1.54764, 2.23151, 0.92559, 3.41718,
5, 2.00140, 0.01823, 0.60017, 0.01245, -1.74076, -0.01147, 0.99441, -0.02094, -2.65719, -0.10740, -2.36035, -1.51288, 2.21960, 0.91716, 3.38630,
6, 1.93978, 0.02376, 0.60033, 0.01614, -1.73817, -0.01510, 0.99275, -0.02756, -2.54353, -0.13079, -2.26018, -1.47393, 2.20537, 0.90743, 3.35080,
7, 1.87324, 0.02976, 0.60054, 0.02010, -1.73536, -0.01912, 0.99090, -0.03489, -2.41887, -0.15645, -2.15058, -1.43120, 2.18867, 0.89639, 3.31073,
8, 1.80268, 0.03616, 0.60079, 0.02426, -1.73237, -0.02351, 0.98888, -0.04287, -2.28444, -0.18413, -2.03275, -1.38514, 2.16937, 0.88409, 3.26619,
9, 1.72902, 0.04288, 0.60110, 0.02856, -1.72923, -0.02823, 0.98670, -0.05148, -2.14157, -0.21353, -1.90792, -1.33627, 2.14739, 0.87056, 3.21735,
10, 1.65317, 0.04983, 0.60146, 0.03293, -1.72598, -0.03327, 0.98435, -0.06063, -1.99171, -0.24431, -1.77744, -1.28512, 2.12266, 0.85590, 3.16443,
11, 1.57604, 0.05696, 0.60189, 0.03731, -1.72266, -0.03859, 0.98187, -0.07030, -1.83637, -0.27613, -1.64274, -1.23229, 2.09517, 0.84021, 3.10772,
12, 1.49850, 0.06417, 0.60239, 0.04163, -1.71931, -0.04415, 0.97926, -0.08040, -1.67717, -0.30859, -1.50527, -1.17840, 2.06496, 0.82363, 3.04760,
13, 1.42137, 0.07138, 0.60297, 0.04583, -1.71595, -0.04993, 0.97653, -0.09090, -1.51579, -0.34129, -1.36658, -1.12412, 2.03212, 0.80634, 2.98450,
14, 1.34543, 0.07853, 0.60362, 0.04984, -1.71263, -0.05588, 0.97370, -0.10172, -1.35395, -0.37380, -1.22822, -1.07010, 1.99680, 0.78853, 2.91893,
15, 1.27138, 0.08553, 0.60436, 0.05360, -1.70938, -0.06198, 0.97078, -0.11280, -1.19343, -0.40568, -1.09178, -1.01704, 1.95919, 0.77043, 2.85146,
16, 1.19971, 0.09234, 0.60519, 0.05706, -1.70622, -0.06818, 0.96779, -0.12410, -1.03563, -0.43658, -0.95849, -0.96546, 1.91947, 0.75225, 2.78256,
17, 1.11804, 0.09993, 0.60636, 0.06134, -1.70234, -0.07578, 0.96430, -0.13738, -0.85002, -0.47284, -0.80231, -0.90418, 1.87047, 0.72984, 2.69943,
18, 1.03308, 0.10772, 0.60782, 0.06602, -1.69804, -0.08429, 0.96053, -0.15181, -0.65019, -0.51157, -0.63509, -0.83819, 1.81469, 0.70464, 2.60718,
19, 0.94784, 0.11552, 0.60953, 0.07077, -1.69352, -0.09346, 0.95653, -0.16716, -0.44279, -0.55120, -0.46278, -0.77028, 1.75302, 0.67747, 2.50801,
20, 0.86350, 0.12323, 0.61153, 0.07550, -1.68879, -0.10325, 0.95232, -0.18336, -0.22997, -0.59113, -0.28742, -0.70142, 1.68553, 0.64855, 2.40249,
21, 0.78116, 0.13073, 0.61382, 0.08014, -1.68390, -0.11362, 0.94791, -0.20035, -0.01402, -0.63072, -0.11115, -0.63260, 1.61240, 0.61810, 2.29130,
22, 0.70178, 0.13793, 0.61641, 0.08460, -1.67888, -0.12452, 0.94332, -0.21805, 0.20274, -0.66935, 0.06390, -0.56479, 1.53392, 0.58644, 2.17524,
