a,b,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
40, 0, 0.09842, 0.00000, 0.59978, -0.00000, -1.74935, -0.00000, 0.99963, 0.00000, 0.69924, 0.12695, 0.60551, -1.14014, -0.04911, 1.00720, -0.18957,
40, 1, 0.07662, -0.00743, 0.59916, -0.00639, -1.73711, 0.00050, 0.98841, 0.00192, 0.53694, -0.03766, 0.45490, -0.94926, -0.03745, 0.90058, -0.12951,
40, 2, 0.04637, -0.01990, 0.60217, -0.01683, -1.71442, 0.00129, 0.96578, 0.00464, 0.26591, -0.30367, 0.20453, -0.62175, -0.01890, 0.70843, -0.03197,
40, 3, 0.02126, -0.03337, 0.62181, -0.02693, -1.68152, 0.00207, 0.92648, 0.00573, -0.01075, -0.52947, -0.04857, -0.25767, -0.00251, 0.45903, 0.06022,
40, 4, 0.00679, -0.03835, 0.68647, -0.02599, -1.64049, 0.00282, 0.86146, -0.00026, -0.03391, -0.35107, -0.06724, -0.11820, -0.00934, 0.24364, 0.05014,
36, 0, 0.18037, 0.00000, 0.59978, -0.00000, -1.74935, -0.00000, 0.99963, 0.00000, 2.31752, 0.10800, 2.01078, -0.99524, -0.28219, 0.96942, -0.78435,
36, 1, 0.14771, -0.01400, 0.59933, -0.01065, -1.74377, 0.00106, 0.99395, 0.00491, 2.02538, 0.03406, 1.74131, -0.92255, -0.25601, 0.92366, -0.67248,
36, 2, 0.09751, -0.03996, 0.59928, -0.03031, -1.73280, 0.00317, 0.98222, 0.01378, 1.47879, -0.10875, 1.23855, -0.77548, -0.20665, 0.83056, -0.46460,
36, 3, 0.04795, -0.07844, 0.60279, -0.05866, -1.71415, 0.00672, 0.96038, 0.02615, 0.66561, -0.32671, 0.49506, -0.52882, -0.13124, 0.66935, -0.15970,
36, 4, 0.02476, -0.11777, 0.62182, -0.08305, -1.68659, 0.01153, 0.92183, 0.03618, -0.11975, -0.51209, -0.21190, -0.23766, -0.05071, 0.44849, 0.12551,
36, 5, 0.01305, -0.13255, 0.66993, -0.07854, -1.65592, 0.01555, 0.86748, 0.03334, -0.24147, -0.41050, -0.30366, -0.10466, -0.02153, 0.26195, 0.15803,
41, 0, 0.09218, 0.00000, 0.59978, -0.00000, -1.74935, -0.00000, 0.99963, 0.00000, -0.55997, 0.07406, -0.47808, -0.49276, -0.17016, 0.86546, -0.12191,
41, 1, 0.08487, 0.00454, 0.59947, 0.00236, -1.74612, 0.00183, 0.99352, 0.00050, -0.49170, 0.01835, -0.41213, -0.42944, -0.16630, 0.82380, -0.14172,
41, 2, 0.07360, 0.01166, 0.59975, 0.00663, -1.74090, 0.00486, 0.98233, 0.00218, -0.38260, -0.06851, -0.30626, -0.32695, -0.15727, 0.75372, -0.17067,
41, 3, 0.06049, 0.02001, 0.60198, 0.01264, -1.73454, 0.00881, 0.96552, 0.00617, -0.25282, -0.16604, -0.17904, -0.20251, -0.14005, 0.66197, -0.19881,
41, 4, 0.04739, 0.02822, 0.60811, 0.01929, -1.72835, 0.01360, 0.94243, 0.01361, -0.13310, -0.24260, -0.05878, -0.08331, -0.11133, 0.55942, -0.21194,
41, 5, 0.03521, 0.03479, 0.62030, 0.02535, -1.72390, 0.01866, 0.91214, 0.02574, -0.05767, -0.26204, 0.02264, -0.00045, -0.06872, 0.45832, -0.19550,
41, 6, 0.02406, 0.03921, 0.63973, 0.02993, -1.72238, 0.02265, 0.87309, 0.04332, -0.04276, -0.20451, 0.04849, 0.03023, -0.01434, 0.36306, -0.14438,
41, 7, 0.01388, 0.04342, 0.66513, 0.03295, -1.72422, 0.02267, 0.82233, 0.06600, -0.06027, -0.09334, 0.03855, 0.03092, 0.03811, 0.25906, -0.07531,
41, 8, 0.00463, 0.05238, 0.69084, 0.03315, -1.73220, 0.01246, 0.75464, 0.09291, -0.04541, 0.00551, 0.03453, 0.04940, 0.05242, 0.11678, -0.02792,
0, 0, 0.10741, 0.00000, 0.59978, -0.00000, -1.74935, -0.00000, 0.99963, 0.00000, 1.73812, 0.13441, 1.49374, -1.22581, 0.22774, 1.02635, -0.01413,
0, 1, 0.08664, -0.01818, 0.59906, -0.01398, -1.73696, -0.00315, 0.98891, 0.00007, 1.38254, -0.03131, 1.15613, -1.05819, 0.22726, 0.92763, 0.09908,
0, 2, 0.06449, -0.04821, 0.60109, -0.03606, -1.71492, -0.00964, 0.96860, -0.00236, 0.80789, -0.29787, 0.61091, -0.76965, 0.21563, 0.75526, 0.26820,
0, 3, 0.05345, -0.08236, 0.61188, -0.05820, -1.68617, -0.02010, 0.93928, -0.01123, 0.20325, -0.56201, 0.03663, -0.43692, 0.17807, 0.54512, 0.41472,
0, 4, 0.04699, -0.10940, 0.63628, -0.07120, -1.65664, -0.03290, 0.90465, -0.02945, -0.17911, -0.67900, -0.33222, -0.18968, 0.10784, 0.35947, 0.45332,
0, 5, 0.03334, -0.12426, 0.67606, -0.07088, -1.62916, -0.04539, 0.86708, -0.05777, -0.21917, -0.57246, -0.38914, -0.09818, 0.00803, 0.22923, 0.35492,
